"Id","Yard number","Yard name","Sale Date M/D/CY","Day of Week","Sale time (HHMM)","Time Zone","Item#","Lot number","Vehicle Type","Year","Make","Model Group","Model Detail","Body Style","Color","Damage Description","Secondary Damage","Sale Title State","Sale Title Type","Has Keys-Yes or No","Lot Cond. Code","VIN","Odometer","Odometer Brand","Est. Retail Value","Repair cost","Engine","Drive","Transmission","Fuel Type","Cylinders","Runs/Drives","Sale Status","High Bid =non-vix,Sealed=Vix","Special Note","Location city","Location state","Location ZIP","Location country","Currency Code","Image Thumbnail","Create Date/Time","Grid/Row","Make-an-Offer Eligible","Buy-It-Now Price","Image URL","Trim","Last Updated Time"
43,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26555650,"V",2014,"CHEVROLET","CRUZE","CRUZE LT","SEDAN 4D","SILVER","FRONT END","","CA","SC","YES","D","1G1PC5SBXE7371286",73007.0,"A",9171.0,0.0,"1.4L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX239/a93db203-38f0-4055-b56b-49c9fa8e6036.JPG","2020-02-18-07.08.43.000393","SD004","N",0.0,"http://inventory.copart.io/v1/lotImages/26555650?country=us&brand=cprt&yardNumber=1","LT","2020-02-15T00:43:02Z"
44,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26565640,"V",2002,"SUZUKI","VITARA JLX","VITARA JLX","4DR SPOR","SILVER","REAR END","","CA","SC","YES","D","2S3TD52V726110806",113943.0,"A",5251.0,0.0,"2.0L  4","4x4 w/Rear Wheel Drv","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","550.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/d056cab6-883f-4314-9aab-458ec8fc1350.JPG","2020-02-18-07.08.43.000393"," D070","N",0.0,"http://inventory.copart.io/v1/lotImages/26565640?country=us&brand=cprt&yardNumber=1","JLX","2020-02-14T18:51:54Z"
45,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26576030,"V",2009,"LEXUS","ES350","ES 350","SEDAN 4D","WHITE","FRONT END","","CA","SC","YES","D","JTHBJ46G292297564",130548.0,"A",9692.0,0.0,"3.5L  6","Front-wheel Drive","AUTOMATIC","GAS","6","Run & Drive Verified","On Approval","500.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/5d624b29-0d24-451c-bd0d-44aab4ee8a19.JPG","2020-02-18-07.08.43.000394","JJ010","N",0.0,"http://inventory.copart.io/v1/lotImages/26576030?country=us&brand=cprt&yardNumber=1","350","2020-02-13T15:01:02Z"
46,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26592280,"V",2005,"TOYOTA","CAMRY","CAMRY LE","SEDAN 4D","WHITE","SIDE","","CA","SC","YES","S","4T1BE32K65U013874",175420.0,"A",4124.0,4124.0,"2.4L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Vehicle Starts","Pure Sale","0.0","","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX242/d70b1f72-c4a0-4566-8e5f-71d39e238079.JPG","2020-02-18-07.08.43.000394","SG004","N",0.0,"http://inventory.copart.io/v1/lotImages/26592280?country=us&brand=cprt&yardNumber=1","LE","2020-02-15T00:33:55Z"
47,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26596220,"V",2014,"CHRYSLER","MINIVAN","TOWN & COU","SPORTS V","SILVER","FRONT END","","CA","SC","YES","D","2C4RC1BG6ER131655",97934.0,"A",11984.0,0.0,"3.6L  6","Front-wheel Drive","AUTOMATIC","FLEXIBLE FUEL","6","Run & Drive Verified","Pure Sale","70.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX239/93f88ec0-be9c-46eb-b2dd-e9d9228ed7ea.JPG","2020-02-18-07.08.43.000394","CC100","N",0.0,"http://inventory.copart.io/v1/lotImages/26596220?country=us&brand=cprt&yardNumber=1","TOURING","2020-02-13T18:59:11Z"
48,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26598030,"V",2003,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","BLUE","MINOR DENT/SCRATCHES","","CA","CQ","NO","","JTEHF21A330154853",0.0,"E",8500.0,0.0,"3.0L  6","All wheel drive","AUTOMATIC","GAS","6","","On Minimum Bid","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/df4bf633-d82e-43a9-a475-57c6ae8f1e10.JPG","2020-02-18-07.08.43.000395"," E060","Y",3500.0,"http://inventory.copart.io/v1/lotImages/26598030?country=us&brand=cprt&yardNumber=1","LIMITED","2020-02-11T16:54:13Z"
49,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26598230,"V",2013,"HONDA","CIVIC EXL","CIVIC EXL","SEDAN 4D","CHARCOAL","SIDE","","CA","SC","YES","D","19XFB2F97DE267316",67195.0,"A",12710.0,0.0,"1.8L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","400.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX237/89acd07e-1321-42b0-bcff-0e36e36fd8ec.JPG","2020-02-18-07.08.43.000402","AA100","N",0.0,"http://inventory.copart.io/v1/lotImages/26598230?country=us&brand=cprt&yardNumber=1","EXL","2020-02-13T19:00:43Z"
50,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26658520,"V",2015,"VOLKSWAGEN","GOLF","E-GOLF LIM","HATCHBAC","WHITE","FRONT END","","CA","SC","YES","D","WVWKP7AU8FW906532",98499.0,"A",8709.0,0.0,"","Front-wheel Drive","AUTOMATIC","ELECTRIC","","Run & Drive Verified","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX238/6b02471f-5232-4b1c-be85-304ef8a23aee.JPG","2020-02-18-07.08.43.000402"," A020","N",0.0,"http://inventory.copart.io/v1/lotImages/26658520?country=us&brand=cprt&yardNumber=1","LIMITED","2020-02-17T19:14:58Z"
51,1,"CA - VALLEJO",0,"",1200,"PST",0,26670890,"V",2015,"NISSAN","VERSA","VERSA NOTE","HATCHBAC","TWO TONE","FRONT END","","CA","SC","YES","D","3N1CE2CP5FL437042",50170.0,"A",8245.67,0.0,"1.6L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","0.0","VEH LOCATED @ FAIRFLD SUBLOT","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX251/0d7147ef-f2cc-438d-a01e-39e138bcab97.JPG","2020-02-18-07.08.43.000402","EE050","N",0.0,"http://inventory.copart.io/v1/lotImages/26670890?country=us&brand=cprt&yardNumber=1","S","2020-02-12T18:52:02Z"
52,1,"CA - VALLEJO",20200221,"FRIDAY",1200,"PST",0,26677970,"V",2010,"KIA","FORTE EX","FORTE EX","SEDAN 4D","CHARCOAL","SIDE","REAR END","CA","SC","YES","D","KNAFU4A20A5214963",229695.0,"A",3530.0,5000.0,"2.0L  4","Front-wheel Drive","AUTOMATIC","GAS","4","Run & Drive Verified","Pure Sale","0.0","VALLEJO SUBLOT              ","VALLEJO","CA","94590","USA","USD","cs.copart.com/v1/AUTH_svc.pdoc00001/PIX239/46253137-a590-423d-8605-3193752732b3.JPG","2020-02-18-07.08.43.000403","SG007","N",0.0,"http://inventory.copart.io/v1/lotImages/26677970?country=us&brand=cprt&yardNumber=1","EX","2020-02-14T17:44:53Z"
